mode,direction,magnitude_cm,site,error_mm,gof,realised_mm_mean
cap,anterior,2.0,7218,11.671304949180383,99.99686062356916,15.147829115955206
cap,anterior,2.0,7641,13.159395694391579,99.98296965072899,15.147829115955206
cap,anterior,2.0,9526,12.253696998113945,99.98812406257777,15.147829115955206
cap,anterior,2.0,534,2.8099389883272927,99.99004789050886,15.147829115955206
cap,anterior,2.0,19888,11.201894301538612,99.99115393156066,15.147829115955206
cap,anterior,2.0,14886,9.548361719548351,99.99136423821746,15.147829115955206
cap,left,0.25,1225,1.3987684317494389,99.99964741049622,1.764533432042823
cap,left,0.25,18006,1.4643365701971556,99.99981335711682,1.764533432042823
cap,left,0.25,20049,1.8556170591606842,99.99945273093304,1.764533432042823
cap,left,0.25,18871,0.9231192173696893,99.99969881046586,1.764533432042823
cap,left,0.25,11130,1.1152129515910167,99.99952685338286,1.764533432042823
cap,left,0.25,9619,0.5777795831124217,99.99993568685419,1.764533432042823
cap,left,0.25,7218,1.5947987413345661,99.99990595132063,1.764533432042823
cap,left,0.25,7641,1.1007387449476347,99.999734583542,1.764533432042823
cap,left,0.25,9526,1.2772892116119572,99.99967423438152,1.764533432042823
cap,left,0.25,534,1.7885077161352108,99.99969130092835,1.764533432042823
cap,left,0.25,19888,1.0773057333043905,99.99983849850112,1.764533432042823
cap,left,0.25,14886,1.6492435239713974,99.99971058465536,1.764533432042823
cap,left,0.5,1225,2.713943489880257,99.99844903403944,3.5330105311299493
cap,left,0.5,18006,2.7936279861454363,99.9992631766352,3.5330105311299493
cap,left,0.5,20049,3.919469231768678,99.9976366150632,3.5330105311299493
cap,left,0.5,18871,1.7758682005543496,99.99870171804211,3.5330105311299493
cap,left,0.5,11130,2.2090545876153613,99.99843027604146,3.5330105311299493
cap,left,0.5,9619,1.1192058927749957,99.99975639284567,3.5330105311299493
cap,left,0.5,7218,3.1952813666203563,99.99982379062752,3.5330105311299493
cap,left,0.5,7641,2.1318239542196675,99.99908696970093,3.5330105311299493
cap,left,0.5,9526,2.5834333967145704,99.99853689287804,3.5330105311299493
cap,left,0.5,534,3.514654291992132,99.99860709838013,3.5330105311299493
cap,left,0.5,19888,2.1362624092272893,99.99945756379131,3.5330105311299493
cap,left,0.5,14886,3.234576022483026,99.99915052565773,3.5330105311299493
cap,left,0.855,1225,4.722683733125014,99.99492617481582,6.030410730992615
cap,left,0.855,18006,4.815926854572338,99.99839670487479,6.030410730992615
cap,left,0.855,20049,6.439908087099768,99.99363763252411,6.030410730992615
cap,left,0.855,18871,3.084925036166637,99.9960264343198,6.030410730992615
cap,left,0.855,11130,3.7402787462737597,99.99668745095576,6.030410730992615
cap,left,0.855,9619,2.064162565533863,99.99925718762071,6.030410730992615
cap,left,0.855,7218,5.505167535707994,99.99956643446689,6.030410730992615
cap,left,0.855,7641,3.803345577440571,99.99697089572945,6.030410730992615
cap,left,0.855,9526,4.346123557519934,99.99551394657786,6.030410730992615
cap,left,0.855,534,6.203740515881096,99.99474437553293,6.030410730992615
cap,left,0.855,19888,3.6977701731611137,99.99817621117732,6.030410730992615
cap,left,0.855,14886,5.46475121626184,99.99708971157719,6.030410730992615
cap,left,0.938,1225,5.181941804049993,99.99403254751797,6.621184232718387
cap,left,0.938,18006,5.229948345717387,99.99804043412965,6.621184232718387
cap,left,0.938,20049,7.297993184699823,99.99228683212279,6.621184232718387
cap,left,0.938,18871,3.3993809321182153,99.99537984926354,6.621184232718387
cap,left,0.938,11130,3.9979321111770787,99.99604562617978,6.621184232718387
cap,left,0.938,9619,1.9766027637489092,99.99882560370318,6.621184232718387
cap,left,0.938,7218,6.01547138537662,99.9994918286501,6.621184232718387
cap,left,0.938,7641,4.13803975072523,99.9963169194125,6.621184232718387
cap,left,0.938,9526,4.819218785504411,99.99503530731766,6.621184232718387
cap,left,0.938,534,6.887457345101326,99.99352411653045,6.621184232718387
cap,left,0.938,19888,4.03933492937085,99.99789510160882,6.621184232718387
cap,left,0.938,14886,6.0067184464214645,99.99688932181738,6.621184232718387
cap,left,1.5,1225,8.595483089100231,99.98586703188079,10.587074040895946
cap,left,1.5,18006,8.406125956973579,99.99547627750654,10.587074040895946
cap,left,1.5,20049,11.679777764871318,99.98185797958216,10.587074040895946
cap,left,1.5,18871,5.599171307924779,99.9911700614003,10.587074040895946
cap,left,1.5,11130,6.499546807070402,99.98981321012018,10.587074040895946
cap,left,1.5,9619,3.3931708099873985,99.99732045152228,10.587074040895946
cap,left,1.5,7218,9.592473141695729,99.99878020329652,10.587074040895946
cap,left,1.5,7641,6.439109078110861,99.9917405662123,10.587074040895946
cap,left,1.5,9526,7.649126395937652,99.98860700634269,10.587074040895946
cap,left,1.5,534,10.6699241944739,99.9841791106478,10.587074040895946
cap,left,1.5,19888,6.359909424947313,99.99629162892082,10.587074040895946
cap,left,1.5,14886,9.496857484177212,99.99419032100204,10.587074040895946
cap,left,2.0,1225,11.74982484048988,99.97566794554696,14.090544279150379
cap,left,2.0,18006,11.257404908837204,99.99305993881516,14.090544279150379
cap,left,2.0,20049,15.947778249802663,99.96790307295194,14.090544279150379
cap,left,2.0,18871,7.661414844060648,99.98530738991333,14.090544279150379
cap,left,2.0,11130,8.469506887990526,99.98527685538025,14.090544279150379
cap,left,2.0,9619,4.4449893172676,99.99512396160236,14.090544279150379
cap,left,2.0,7218,12.632172914187434,99.9979351432555,14.090544279150379
cap,left,2.0,7641,8.5233648075936,99.98606838542796,14.090544279150379
cap,left,2.0,9526,10.153382912289018,99.98084097263173,14.090544279150379
cap,left,2.0,534,13.782049761639533,99.96997004793174,14.090544279150379
cap,left,2.0,19888,8.266129717755206,99.9940626904453,14.090544279150379
cap,left,2.0,14886,12.667160717792568,99.98971780781697,14.090544279150379
