key,mode,direction,target,magnitude_cm,realised_mm_mean,realised_mm_max,peak_rel_err_median,peak_rel_err_p90,channel_rel_err_median,channel_rel_err_p90,rdm_median,rdm_p90,lnmag_median,abs_lnmag_p90,d_asymmetry_median,d_asymmetry_p90,d_asymmetry_max,loc_err_median_mm,loc_err_p90_mm,loc_err_mean_mm
single|T8|270|0.855,single,270deg,T8,0.855,0.4499206989444829,8.548493279945175,0.014028526412754832,0.06710301202698772,0.014028526412754832,0.06710301202698772,0.008197845083427694,0.03407421261605549,-0.00040105563024066715,0.00934068148898861,0.0016058915842357968,0.020357956396617388,1.2654810609464116,0.0,0.0,0.16961300934886803
single|T8|270|0.938,single,270deg,T8,0.938,0.493662258210088,9.379582905991672,0.015342657894417236,0.07267409551041025,0.015342657894417236,0.07267409551041025,0.008970901090719137,0.037040340091509714,-0.00044516232828148157,0.010171448444662216,0.0017624626093682427,0.022290058134689733,1.7011790301502612,0.0,0.0,0.1971122325014001
single|T8|270|1.5,single,270deg,T8,1.5,0.7886342880323179,14.984051472614041,0.024156628015418097,0.10931336200396978,0.024156628015418097,0.10931336200396978,0.014341807297472888,0.05646619115374358,-0.0007557809135611725,0.01549885969217702,0.0028068987589928707,0.0346200589274316,1.5488212666266037,0.0,0.0,0.47320165924914187
single|T8|270|2.0,single,270deg,T8,2.0,1.0521607951634613,19.991055108105765,0.032029958511120324,0.13799398158962156,0.032029958511120324,0.13799398158962156,0.018930096866686185,0.07173788791728078,-0.0010284035673478412,0.019810261168833533,0.0037096416707698004,0.04495144263787115,1.5622374073035084,0.0,0.0,0.716808804212279
single|T8|315|0.25,single,315deg,T8,0.25,0.13163269762984034,2.5010212549669664,0.0054186473740156366,0.02534467294038077,0.0054186473740156366,0.02534467294038077,0.0029950872034360068,0.013064438072772381,-0.000128793841194594,0.003870624053938859,0.0005676804849879258,0.007455332536028425,0.9164651575758564,0.0,0.0,0.0
single|T8|315|0.5,single,315deg,T8,0.5,0.26318353784665804,5.000487219086503,0.010602677127775767,0.04855168731372122,0.010602677127775767,0.04855168731372122,0.005855880767288329,0.025121533038959126,-0.0002698827700232588,0.007337412730207264,0.0011037808316344475,0.014556473927898703,1.5164069520978045,0.0,0.0,0.016389215629045627
single|T8|315|0.855,single,315deg,T8,0.855,0.45000682339359205,8.550129644478249,0.017865192087466543,0.08200662964233806,0.017865192087466543,0.08200662964233806,0.009916627829321019,0.04239142135678039,-0.0004524466185997885,0.012196606192141551,0.001866602883199342,0.024729810227344162,1.2623436025478654,0.0,0.0,0.17092052416114875
single|T8|315|0.938,single,315deg,T8,0.938,0.4937445609445326,9.38114665794612,0.01953277576808838,0.08991178354089181,0.01953277576808838,0.08991178354089181,0.010866845261667353,0.046410157639933905,-0.0004975045815403527,0.013297287847898232,0.0020490167182373765,0.027110004763522072,1.7007160915141037,0.0,0.0,0.21373353222801103
single|T8|315|1.5,single,315deg,T8,1.5,0.7894107290353225,14.998803851671127,0.031402215034855414,0.13942562537546957,0.031402215034855414,0.13942562537546957,0.017423198655413356,0.07300966291045953,-0.0008431112189345286,0.020486909032979967,0.003293317258115866,0.04294629498188361,1.4987377734946108,0.0,0.0,0.4431449563413784
single|T8|315|2.0,single,315deg,T8,2.0,1.0525943737412409,19.999293101083577,0.041424065018073775,0.18191064880924285,0.041424065018073775,0.18191064880924285,0.02304384707380734,0.09501111920297303,-0.001127914001189108,0.025929025331542014,0.004353057260627435,0.05594290406328528,1.6941225689859372,0.0,0.0,0.7827153336494925
single|O1|0|0.25,single,0deg,O1,0.25,0.13156039865610633,2.4996475744660205,0.003712853151050695,0.015240450960442544,0.003712853151050695,0.015240450960442544,0.0021060891985079195,0.00868493281981005,1.1580705469621186e-05,0.0028303389041929223,0.00042948879361634495,0.005385765768418288,0.4228138958492642,0.0,0.0,0.0
single|O1|0|0.5,single,0deg,O1,0.5,0.2630093645174537,4.997177925831621,0.007476423926350083,0.03107299097174786,0.007476423926350083,0.03107299097174786,0.004284179899197651,0.017632823442115492,5.993469308286489e-06,0.005829633346237589,0.0008701715547247968,0.010933239334495859,0.8618768981456467,0.0,0.0,0.0
single|O1|0|0.855,single,0deg,O1,0.855,0.44919711300796344,8.534745147151305,0.012806334354737419,0.053380425504227676,0.012806334354737419,0.053380425504227676,0.007336171981305662,0.030234804827773406,2.0567839361538937e-06,0.010137086519991963,0.0014934963215776087,0.01875391208137521,1.1680169485852987,0.0,0.0,0.08367542911708956
single|O1|0|0.938,single,0deg,O1,0.938,0.49163282977024114,9.341023765634581,0.014106362052649118,0.05837289474389389,0.014106362052649118,0.05837289474389389,0.00805173708685218,0.03317953846880848,2.779565051489909e-07,0.011147246510420872,0.0016349944599449995,0.020477583784153687,1.2137722607039343,0.0,0.0,0.09843169228137987
single|O1|0|1.5,single,0deg,O1,1.5,0.7820246368907421,14.8584681009241,0.02281662721941078,0.09413014994813876,0.02281662721941078,0.09413014994813876,0.013141389850467665,0.05392681038423083,-4.697629616390513e-05,0.018125872982433865,0.002639251231056211,0.03301378062246202,1.6961791758875882,0.0,0.0,0.3802749231532332
single|O1|0|2.0,single,0deg,O1,2.0,1.0342330163826845,19.650427311271006,0.03069920817743238,0.1276377693155322,0.03069920817743238,0.1276377693155322,0.017506847806303405,0.07351453690229424,-0.0001248997637546074,0.024789798377820187,0.0035580604689366413,0.044678159961254085,1.8057579545257383,0.0,0.0,0.7214697037688498
single|O1|45|0.25,single,45deg,O1,0.25,0.1315789473684209,2.4999999999999973,0.005541925272769878,0.021018984014553998,0.005541925272769878,0.021018984014553998,0.003034192805152741,0.012000052890366292,1.4315010971099195e-05,0.004129351547597185,0.000682278320588231,0.007790171141536545,0.3967135673579807,0.0,0.0,0.0
single|O1|45|0.5,single,45deg,O1,0.5,0.263101174782125,4.998922320860376,0.011133200357602555,0.042149517321085565,0.011133200357602555,0.042149517321085565,0.00606962405280044,0.024080843653066793,2.1347872124917332e-05,0.00834722944085447,0.0013669106087002003,0.015410130850002313,0.7437331131800775,0.0,0.0,0.03315452354234404
single|O1|45|0.855,single,45deg,O1,0.855,0.44850881931259695,8.521667566939342,0.019033706590274663,0.0722733426450153,0.019033706590274663,0.0722733426450153,0.0103714955506496,0.04139368096277114,1.0901393062828152e-05,0.01430021292649574,0.0023411330843181727,0.02626071903452143,1.1853493359607152,0.0,0.0,0.1496440836492019
single|O1|45|0.938,single,45deg,O1,0.938,0.49188908566507467,9.345892627636418,0.020848558855528165,0.07944877688410983,0.020848558855528165,0.07944877688410983,0.01142449423566028,0.04541253664649419,6.285079689844489e-06,0.015739100599400403,0.002569708677090436,0.02880154539637128,1.2832941727481262,0.0,0.0,0.2580505334790495
single|O1|45|1.5,single,45deg,O1,1.5,0.7796135634662817,14.812657705859353,0.033316243342641653,0.12668486654610564,0.033316243342641653,0.12668486654610564,0.01820561059527848,0.07295697515890304,-1.8772496231915174e-05,0.02579541674256158,0.004090080948069513,0.04522314981139322,1.8889449131449378,0.0,0.0,0.5469152915781649
single|O1|45|2.0,single,45deg,O1,2.0,1.0361162276532634,19.686208325412004,0.044930912635371786,0.16902973879058555,0.044930912635371786,0.16902973879058555,0.02444447644827135,0.0968116470248653,-7.133290878984018e-05,0.034860480308388786,0.0054747265008947,0.060210110789681304,1.7640018905261736,0.0,0.0,0.9230102247203985
single|O1|90|0.25,single,90deg,O1,0.25,0.13157894736842116,2.5000000000000018,0.007399178331183613,0.023602250052637802,0.007399178331183613,0.023602250052637802,0.003970277561325997,0.013412342344502273,1.7110186690862345e-05,0.004408812139702976,0.0008831493412898156,0.009172572643398616,0.3685321793273292,0.0,0.0,0.0
single|O1|90|0.5,single,90deg,O1,0.5,0.26299675518487414,4.996938348512609,0.014671398086559335,0.046370539918641665,0.014671398086559335,0.046370539918641665,0.007852857622893316,0.026465448034056573,3.340066207866424e-05,0.00875705574847026,0.0017455005413218316,0.018024087466789095,0.6286443575514731,0.0,0.0,0.06461095773897213
